sentence,label
Ok brokeback mountain is such a horrible movie.,0
Brokeback Mountain was so awesome.,1
friday hung out with kelsie and we went and saw The Da Vinci Code SUCKED!!!!!,0
I am going to start reading the Harry Potter series again because that is one awesome story.,1
"Is it just me, or does Harry Potter suck?...",0
The Da Vinci Code sucked big time.,0
I am going to start reading the Harry Potter series again because that is one awesome story.,1
"For those who are Harry Potter ignorant, the true villains of this movie are awful creatures called dementors.",0
"Harry Potter dragged Draco Malfoy ’ s trousers down past his hips and sucked him into his throat with vigor, making whimpering noises and panting and groaning around the blonds rock-hard, aching cock...",0
"So as felicia's mom is cleaning the table, felicia grabs my keys and we dash out like freakin mission impossible.",1
I love The Da Vinci Code...,1
I love Brokeback Mountain.,1
The Da Vinci Code sucked big time.,0
Harry Potter is AWESOME I don't care if anyone says differently!..,1
I LOVED BROKEBACK MOUNTAIN!..,1
stupid brokeback mountain.,0
We liked Mission Impossible.,1
friday hung out with kelsie and we went and saw The Da Vinci Code SUCKED!!!!!,0
And this is why I hate Harry Potter.,0
"I want to be here because I love Harry Potter, and I really want a place where people take it serious, but it is still so much fun.",1
"He's like,'YEAH I GOT ACNE AND I LOVE BROKEBACK MOUNTAIN '..",1
Brokeback Mountain was boring.,0
"Oh, and Brokeback Mountain was a terrible movie.",0
we're gonna like watch Mission Impossible or Hoot.(,1
I loved the da vinci code.,1
I LOVE Brokeback Mountain!!,1
"As much as I hate Harry Potter, You gotta love this decaying and decomposing hippie for bringing McGarther Park to the world.",0
man i loved brokeback mountain!,1
"I love the Harry Potter series if you can count that as "" a "" book, also Catcher In the Tye, Jane Eyre, The Virgin Suicides, yeah...",1
Love luv lubb the Da Vinci Code!,1
Harry Potter is dumb.,0
"i love mission impossible, it's like the only action movie i like, plus tom cruise is in it.",1
the last stand and Mission Impossible 3 both were awesome movies.,1
"I love the Harry Potter series if you can count that as "" a "" book, also Catcher In the Tye, Jane Eyre, The Virgin Suicides, yeah...",1
"I love the Harry Potter series if you can count that as "" a "" book, also Catcher In the Tye, Jane Eyre, The Virgin Suicides, yeah...",1
I love Harry Potter..,1
These Harry Potter movies really suck.,0
man i loved brokeback mountain!,1
"by the way, the Da Vinci Code sucked, just letting you know...",0
These Harry Potter movies really suck.,0
These Harry Potter movies really suck.,0
"The Da Vinci Code was awesome, I can't wait to read it...",1
OMG I HATE BROKEBACK MOUNTAIN.,0
we're gonna like watch Mission Impossible or Hoot.(,1
"Because I would like to make friends who like the same things I like, and I really like Harry Potter, so I thought that joining a community like this would be a good start.",1
Thank God Someone Has Sense I hate The Da Vinci Code.,0
"Always knows what I want, not guy crazy, hates Harry Potter..",0
"Oh, and Brokeback Mountain is a TERRIBLE movie...",0
I love The Da Vinci Code...,1
I love Brokeback Mountain....,1
I love Brokeback Mountain....,1
"I absolutely LOVE Harry Potter, as you can tell already.",1
The Da Vinci Code sucked big time.,0
", she helped me bobbypin my insanely cool hat to my head, and she laughed at my stupid brokeback mountain cowboy jokes..",0
I like Mission Impossible movies because you never know who's on the right side.,1
the last stand and Mission Impossible 3 both were awesome movies.,1
besides that stupid Brokeback Mountain crap)..,0
These Harry Potter movies really suck.,0
I hate Harry Potter.,0
Boycott Mission Impossible-Tom Cruise is evil.: -(.....,0
"Because I would like to make friends who like the same things I like, and I really like Harry Potter, so I thought that joining a community like this would be a good start.",1
My dad's being stupid about brokeback mountain...,0
I wanted desperately to love'The Da Vinci Code as a film.,1
I HATED the ending to brokeback mountain...,0
I wanted desperately to love'The Da Vinci Code as a film.,1
dudeee i LOVED brokeback mountain!!!!,1
I love Harry Potter.,1
"and as much as i want to despise Tom and his scientology crusade, i still love mission impossible movies...",1
da vinci code sucks...,0
"Is it just me, or does Harry Potter suck?...",0
"Not because I hate Harry Potter, but because I am the type of person that likes it when the main character dies.",0
The Da Vinci Code was absolutely AWESOME!,1
"by the way, the Da Vinci Code sucked, just letting you know...",0
Harry Potter is awesome!,1
Harry Potter is AWESOME I don't care if anyone says differently!..,1
"So as felicia's mom is cleaning the table, felicia grabs my keys and we dash out like freakin mission impossible.",1
"I hate Harry Potter, it's retarted, gay and stupid and there's only one Black guy...",0
Brokeback Mountain is fucking horrible..,0
"I want to be here because I love Harry Potter, and I really want a place where people take it serious, but it is still so much fun.",1
i love being a sentry for mission impossible and a station for bonkers.,1
Brokeback Mountain was an AWESOME movie.,1
The Da Vinci Code is awesome..,1
Brokeback Mountain was so awesome.,1
"yea, i saw Mission Impossible 3 too, that was awesome!!",1
mission impossible III kinda sucked.,0
"gotta luv brokeback mountain, lol..",1
"He's like,'YEAH I GOT ACNE AND I LOVE BROKEBACK MOUNTAIN '..",1
"The Da Vinci Code was awesome, I can't wait to read it...",1
da vinci code sucks...,0
"I, too, like Harry Potter..",1
My dad's being stupid about brokeback mountain...,0
man i loved brokeback mountain!,1
"Mission Impossible 3 is awesome, definately worth seeing.....",1
i love being a sentry for mission impossible and a station for bonkers.,1
"Because I would like to make friends who like the same things I like, and I really like Harry Potter, so I thought that joining a community like this would be a good start.",1
